3600;3800;58000;58000;29000;19333;n.m;n.m
3800;4000;62000;62000;31000;20667;n.m;n.m
4000;4200;65000;n.m;32500;21667;n.m;n.m
4200;4400;68000;n.m;34000;22667;17000;n.m
4400;4600;71000;n.m;35500;23667;17750;n.m
4600;4800;74000;n.m;37000;24667;18500;n.m
4800;5000;78000;n.m;39000;26000;19500;n.m
5000;5500;83000;n.m;41500;27667;20750;n.m
5500;6000;90000;n.m;45000;30000;22500;18000
6000;6500;99000;n.m;49500;33000;24750;19800
6500;7000;107000;n.m;53500;35667;26750;21400
7000;7500;115000;n.m;57500;38333;28750;23000
7500;8000;123000;n.m;61500;41000;30750;24600
8000;8500;131000;n.m;n.m;43667;32750;26200
8500;9000;139000;n.m;n.m;46333;34750;27800
9000;9500;147000;n.m;n.m;49000;36750;29400
9500;10000;155000;n.m;n.m;51667;38750;31000
10000;10500;163000;n.m;n.m;54333;40750;32600
10500;11000;171000;n.m;n.m;57000;42750;34200
11000;11500;179000;n.m;n.m;59667;44750;35800
11500;12000;187000;n.m;n.m;62333;46750;37400
12000;12500;195000;n.m;n.m;65000;48750;39000
12500;13000;203000;n.m;n.m;n.m;50750;40600
13000;13500;211000;n.m;n.m;n.m;52750;42200
13500;14000;219000;n.m;n.m;n.m;54750;43800
14000;14500;227000;n.m;n.m;n.m;56750;45400
14500;15000;235000;n.m;n.m;n.m;58750;47000
15000;15500;243000;n.m;n.m;n.m;60750;48600
15500;16000;251000;n.m;n.m;n.m;62750;50200
16000;16500;259000;n.m;n.m;n.m;64750;51800
16500;17000;267000;n.m;n.m;n.m;n.m;53400
17000;17500;275000;n.m;n.m;n.m;n.m;55000
17500;18000;283000;n.m;n.m;n.m;n.m;56600
18000;18500;291000;n.m;n.m;n.m;n.m;58200
18500;19000;299000;n.m;n.m;n.m;n.m;59800
19000;19500;307000;n.m;n.m;n.m;n.m;61400
19500;20000;315000;n.m;n.m;n.m;n.m;63000
20000;20500;323000;n.m;n.m;n.m;n.m;64600
20500;21000;331000;n.m;n.m;n.m;n.m;66200
21000;21500;339000;n.m;n.m;n.m;n.m;67800
21500;22000;347000;n.m;n.m;n.m;n.m;69400
22000;22500;355000;n.m;n.m;n.m;n.m;71000
22500;23000;363000;n.m;n.m;n.m;n.m;72600
23000;23500;371000;n.m;n.m;n.m;n.m;74200
23500;24000;379000;n.m;n.m;n.m;n.m;75800
24000;24500;387000;n.m;n.m;n.m;n.m;77400
24500;25000;395000;n.m;n.m;n.m;n.m;79000
25000;25500;403000;n.m;n.m;n.m;n.m;80600
25500;26000;411000;n.m;n.m;n.m;n.m;82200
26000;26500;419000;n.m;n.m;n.m;n.m;83800
26500;27000;427000;n.m;n.m;n.m;n.m;85400
27000;27500;435000;n.m;n.m;n.m;n.m;87000
27500;28000;443000;n.m;n.m;n.m;n.m;88600
28000;28500;451000;n.m;n.m;n.m;n.m;90200
28500;29000;459000;n.m;n.m;n.m;n.m;91800
29000;29500;467000;n.m;n.m;n.m;n.m;93400
29500;30000;475000;n.m;n.m;n.m;n.m;95000
30000;30500;483000;n.m;n.m;n.m;n.m;96600
30500;31000;491000;n.m;n.m;n.m;n.m;98200
31000;31500;499000;n.m;n.m;n.m;n.m;99800
31500;32000;507000;n.m;n.m;n.m;n.m;101400
32000;32500;515000;n.m;n.m;n.m;n.m;103000
32500;33000;523000;n.m;n.m;n.m;n.m;104600
33000;33500;531000;n.m;n.m;n.m;n.m;106200
33500;34000;539000;n.m;n.m;n.m;n.m;107800
34000;34500;547000;n.m;n.m;n.m;n.m;109400
34500;35000;555000;n.m;n.m;n.m;n.m;111000
35000;35500;563000;n.m;n.m;n.m;n.m;112600
35500;36000;571000;n.m;n.m;n.m;n.m;114200
36000;36500;579000;n.m;n.m;n.m;n.m;115800
36500;37000;587000;n.m;n.m;n.m;n.m;117400
37000;37500;595000;n.m;n.m;n.m;n.m;119000
37500;38000;603000;n.m;n.m;n.m;n.m;120600
38000;38500;611000;n.m;n.m;n.m;n.m;122200
38500;39000;619000;n.m;n.m;n.m;n.m;123800
39000;39500;627000;n.m;n.m;n.m;n.m;125400
39500;40000;635000;n.m;n.m;n.m;n.m;127000
40000;40500;643000;n.m;n.m;n.m;n.m;128600
40500;41000;651000;n.m;n.m;n.m;n.m;130200
41000;41500;659000;n.m;n.m;n.m;n.m;131800
41500;42000;667000;n.m;n.m;n.m;n.m;133400
42000;42500;675000;n.m;n.m;n.m;n.m;135000
42500;43000;683000;n.m;n.m;n.m;n.m;136600
43000;43500;691000;n.m;n.m;n.m;n.m;138200
43500;44000;699000;n.m;n.m;n.m;n.m;139800
44000;44500;707000;n.m;n.m;n.m;n.m;141400
44500;45000;715000;n.m;n.m;n.m;n.m;143000
45000;45500;723000;n.m;n.m;n.m;n.m;144600
45500;46000;731000;n.m;n.m;n.m;n.m;146200
46000;46500;739000;n.m;n.m;n.m;n.m;147800
46500;47000;747000;n.m;n.m;n.m;n.m;149400
47000;47500;755000;n.m;n.m;n.m;n.m;151000
47500;48000;763000;n.m;n.m;n.m;n.m;152600
48000;48500;771000;n.m;n.m;n.m;n.m;154200
48500;49000;779000;n.m;n.m;n.m;n.m;155800
49000;49500;787000;n.m;n.m;n.m;n.m;157400
49500;50000;795000;n.m;n.m;n.m;n.m;159000
50000;50501;803000;n.m;n.m;n.m;n.m;160600
