2000;2200;33000;33000;16500;n.m;n.m;n.m
2200;2400;37000;37000;18500;n.m;n.m;n.m
2400;2600;39000;39000;19500;n.m;n.m;n.m
2600;2800;43000;43000;21500;n.m;n.m;n.m
2800;3000;46000;46000;23000;n.m;n.m;n.m
3000;3200;49000;49000;24500;16333;n.m;n.m
3200;3400;52000;52000;26000;17333;n.m;n.m
3400;3600;55000;55000;27500;18333;n.m;n.m
3600;3800;58000;58000;29000;19333;n.m;n.m
3800;4000;62000;62000;31000;20667;n.m;n.m
4000;4200;65000;n.m;32500;21667;n.m;n.m
4200;4400;68000;n.m;34000;22667;17000;n.m
4400;4600;71000;n.m;35500;23667;17750;n.m
4600;4800;74000;n.m;37000;24667;18500;n.m
4800;5000;78000;n.m;39000;26000;19500;n.m
5000;5500;83000;n.m;41500;27667;20750;n.m
5500;6000;90000;n.m;45000;30000;22500;18000
6000;6500;99000;n.m;49500;33000;24750;19800
6500;7000;107000;n.m;53500;35667;26750;21400
7000;7500;115000;n.m;57500;38333;28750;23000
7500;8000;123000;n.m;61500;41000;30750;24600
8000;8500;131000;n.m;n.m;43667;32750;26200
8500;9000;139000;n.m;n.m;46333;34750;27800
9000;9500;147000;n.m;n.m;49000;36750;29400
9500;10000;155000;n.m;n.m;51667;38750;31000
10000;10500;163000;n.m;n.m;54333;40750;32600
10500;11000;171000;n.m;n.m;57000;42750;34200
11000;11500;179000;n.m;n.m;59667;44750;35800
11500;12000;187000;n.m;n.m;62333;46750;37400
12000;12500;195000;n.m;n.m;65000;48750;39000
12500;13000;203000;n.m;n.m;n.m;50750;40600
13000;13500;211000;n.m;n.m;n.m;52750;42200
13500;14000;219000;n.m;n.m;n.m;54750;43800
14000;14500;227000;n.m;n.m;n.m;56750;45400
14500;15000;235000;n.m;n.m;n.m;58750;47000
15000;15500;243000;n.m;n.m;n.m;60750;48600
15500;16000;251000;n.m;n.m;n.m;62750;50200
16000;16500;259000;n.m;n.m;n.m;64750;51800
16500;17000;267000;n.m;n.m;n.m;n.m;53400
17000;17500;275000;n.m;n.m;n.m;n.m;55000
17500;18000;283000;n.m;n.m;n.m;n.m;56600
18000;18500;291000;n.m;n.m;n.m;n.m;58200
18500;19000;299000;n.m;n.m;n.m;n.m;59800
19000;19500;307000;n.m;n.m;n.m;n.m;61400
19500;20001;315001;n.m;n.m;n.m;n.m;63000
